shipment_id,timestamp,status
SHP-10088,2026-08-30 04:58,Picked Up
SHP-10088,2026-08-31 12:22,In Transit
SHP-10089,2026-08-30 11:57,Picked Up
SHP-10089,2026-08-31 18:21,In Transit
SHP-10089,2026-09-01 20:44,Delivered
SHP-10090,2026-08-29 08:38,Picked Up
SHP-10090,2026-08-31 07:25,In Transit
SHP-10091,2026-08-31 17:56,Picked Up
SHP-10091,2026-09-02 15:09,In Transit
SHP-10092,2026-08-30 17:15,Picked Up
SHP-10092,2026-09-01 19:32,In Transit
SHP-10093,2026-08-31 13:17,Picked Up
SHP-10093,2026-09-02 23:31,In Transit
SHP-10093,2026-09-05 07:07,Exception
SHP-10094,2026-08-30 18:13,Picked Up
SHP-10094,2026-08-31 14:02,In Transit
SHP-10095,2026-08-30 02:30,Picked Up
SHP-10095,2026-08-31 04:04,In Transit
SHP-10096,2026-08-29 04:50,Picked Up
SHP-10096,2026-08-30 18:11,In Transit
SHP-10097,2026-08-29 17:34,Picked Up
SHP-10097,2026-08-30 23:31,In Transit
SHP-10098,2026-08-30 23:54,Picked Up
SHP-10098,2026-09-01 17:06,In Transit
SHP-10098,2026-09-03 06:46,Out for Delivery
SHP-10099,2026-08-31 08:24,Picked Up
SHP-10099,2026-09-01 13:12,In Transit
SHP-10100,2026-08-31 21:43,Picked Up
SHP-10100,2026-09-01 23:47,In Transit
SHP-10101,2026-08-29 06:56,Picked Up
SHP-10101,2026-08-30 21:52,In Transit
SHP-10102,2026-08-29 12:18,Picked Up
SHP-10102,2026-08-30 14:12,In Transit
SHP-10103,2026-08-28 21:38,Picked Up
SHP-10103,2026-08-30 13:25,In Transit
SHP-10104,2026-08-29 14:18,Picked Up
SHP-10104,2026-08-31 01:02,In Transit
SHP-10105,2026-09-01 04:37,Picked Up
SHP-10105,2026-09-02 20:50,In Transit
SHP-10106,2026-08-29 15:12,Picked Up
SHP-10106,2026-08-31 12:12,In Transit
SHP-10107,2026-08-31 04:35,Picked Up
SHP-10107,2026-09-01 23:57,In Transit
SHP-10108,2026-08-28 20:39,Picked Up
SHP-10108,2026-08-29 19:50,In Transit
SHP-10109,2026-08-31 16:49,Picked Up
SHP-10109,2026-09-01 11:48,In Transit
SHP-10109,2026-09-02 04:04,Out for Delivery
SHP-10110,2026-08-29 07:35,Picked Up
SHP-10110,2026-08-31 02:10,In Transit
SHP-10110,2026-09-01 18:34,Exception
SHP-10111,2026-09-01 04:51,Picked Up
SHP-10111,2026-09-03 18:39,In Transit
SHP-10112,2026-08-29 01:46,Picked Up
SHP-10112,2026-08-30 11:12,In Transit
SHP-10113,2026-08-31 05:00,Picked Up
SHP-10113,2026-09-01 19:28,In Transit
SHP-10113,2026-09-03 07:30,Out for Delivery
SHP-10114,2026-08-30 23:57,Picked Up
SHP-10114,2026-09-01 03:06,In Transit
SHP-10115,2026-09-01 04:05,Picked Up
SHP-10115,2026-09-02 09:06,In Transit
SHP-10116,2026-08-28 17:31,Picked Up
SHP-10116,2026-08-29 20:57,In Transit
SHP-10117,2026-08-30 04:58,Picked Up
SHP-10117,2026-09-01 13:43,In Transit
SHP-10117,2026-09-03 18:58,Exception
SHP-10118,2026-08-30 10:29,Picked Up
SHP-10118,2026-08-31 22:58,In Transit
SHP-10118,2026-09-02 06:45,Delivered
SHP-10119,2026-08-29 14:47,Picked Up
SHP-10119,2026-08-31 07:00,In Transit
SHP-10119,2026-09-01 20:30,Delivered
SHP-10120,2026-09-01 06:36,Picked Up
SHP-10120,2026-09-02 14:15,In Transit
SHP-10120,2026-09-03 20:11,Delivered
SHP-10121,2026-08-31 07:06,Picked Up
SHP-10121,2026-09-01 19:22,In Transit
SHP-10122,2026-08-29 15:00,Picked Up
SHP-10122,2026-08-30 16:16,In Transit
SHP-10123,2026-08-30 14:45,Picked Up
SHP-10123,2026-08-31 19:35,In Transit
SHP-10123,2026-09-01 22:22,Exception
SHP-10124,2026-08-30 18:32,Picked Up
SHP-10124,2026-09-01 15:45,In Transit
SHP-10124,2026-09-03 09:10,Exception
SHP-10125,2026-08-28 17:02,Picked Up
SHP-10125,2026-08-29 22:55,In Transit
SHP-10126,2026-08-30 05:43,Picked Up
SHP-10126,2026-09-01 03:14,In Transit
SHP-10127,2026-08-31 11:08,Picked Up
SHP-10127,2026-09-02 07:38,In Transit
SHP-10128,2026-08-31 04:58,Picked Up
SHP-10128,2026-09-01 15:56,In Transit
SHP-10129,2026-08-31 03:56,Picked Up
SHP-10129,2026-09-02 06:15,In Transit
SHP-10129,2026-09-04 05:37,Delayed
SHP-10130,2026-08-30 16:06,Picked Up
SHP-10130,2026-08-31 20:03,In Transit
SHP-10131,2026-08-28 16:19,Picked Up
SHP-10131,2026-08-30 09:31,In Transit
SHP-10132,2026-08-28 21:34,Picked Up
SHP-10132,2026-08-30 20:35,In Transit
SHP-10132,2026-09-01 18:20,Out for Delivery
SHP-10133,2026-08-29 15:40,Picked Up
SHP-10133,2026-08-31 20:23,In Transit
SHP-10133,2026-09-02 23:26,Delayed
SHP-10134,2026-08-28 16:06,Picked Up
SHP-10134,2026-08-30 15:22,In Transit
SHP-10134,2026-09-01 12:03,Exception
SHP-10135,2026-09-01 05:35,Picked Up
SHP-10135,2026-09-03 00:18,In Transit
SHP-10136,2026-08-30 17:21,Picked Up
SHP-10136,2026-08-31 18:08,In Transit
SHP-10136,2026-09-01 14:23,Delivered
SHP-10137,2026-09-01 10:39,Picked Up
SHP-10137,2026-09-02 23:46,In Transit
SHP-10138,2026-09-01 07:34,Picked Up
SHP-10138,2026-09-02 13:12,In Transit
SHP-10138,2026-09-03 14:43,Out for Delivery
SHP-10139,2026-08-29 23:08,Picked Up
SHP-10139,2026-08-31 11:24,In Transit
SHP-10140,2026-09-01 01:05,Picked Up
SHP-10140,2026-09-03 01:13,In Transit
SHP-10141,2026-08-29 06:02,Picked Up
SHP-10141,2026-08-31 01:08,In Transit
SHP-10141,2026-09-01 18:35,Out for Delivery
SHP-10142,2026-09-01 09:14,Picked Up
SHP-10142,2026-09-03 12:03,In Transit
SHP-10143,2026-08-31 01:51,Picked Up
SHP-10143,2026-09-01 06:18,In Transit
SHP-10143,2026-09-02 08:39,Delivered
SHP-10144,2026-08-29 23:27,Picked Up
SHP-10144,2026-08-30 23:41,In Transit
SHP-10145,2026-08-30 00:43,Picked Up
SHP-10145,2026-08-31 21:26,In Transit
SHP-10145,2026-09-02 15:29,Exception
SHP-10146,2026-09-01 02:41,Picked Up
SHP-10146,2026-09-01 22:17,In Transit
SHP-10147,2026-09-01 06:14,Picked Up
SHP-10147,2026-09-02 18:40,In Transit
SHP-10147,2026-09-04 05:18,Exception
SHP-10148,2026-09-01 12:16,Picked Up
SHP-10148,2026-09-02 20:10,In Transit
SHP-10149,2026-08-29 08:02,Picked Up
SHP-10149,2026-08-30 02:36,In Transit
